Rank,Full Journal Title,Abbreviated Title,ISSN,Total Cites,Journal Impact Factor
5921,MEDICINAL CHEMISTRY RESEARCH,MED CHEM RES,10542523,2.3,2.6
5921,MEDICINAL CHEMISTRY RESEARCH,MED CHEM RES,15548120,2.3,2.6
5922,Nursing Philosophy,NURS PHILOS,14667681,2.3,2.6
5922,Nursing Philosophy,NURS PHILOS,1466769X,2.3,2.6
5923,PHYSICA SCRIPTA,PHYS SCRIPTA,00318949,2.3,2.6
5923,PHYSICA SCRIPTA,PHYS SCRIPTA,14024896,2.3,2.6
5924,Entrepreneurial Business and Economics Review,ENTREPR BUS ECON REV,2353883X,2.2,2.6
5924,Entrepreneurial Business and Economics Review,ENTREPR BUS ECON REV,23538821,2.2,2.6
5925,Journal of Corporate Real Estate,J CORP REAL ESTATE,1463001X,2.2,2.6
5925,Journal of Corporate Real Estate,J CORP REAL ESTATE,14791048,2.2,2.6
5926,Neuroethics,NEUROETHICS-NETH,18745490,2.2,2.6
5926,Neuroethics,NEUROETHICS-NETH,18745504,2.2,2.6
5927,Seminars in Thoracic and Cardiovascular Surgery,SEMIN THORAC CARDIOV,10430679,2.2,2.6
5927,Seminars in Thoracic and Cardiovascular Surgery,SEMIN THORAC CARDIOV,15329488,2.2,2.6
5928,Amfiteatru Economic,AMFITEATRU ECON,15829146,2.1,2.6
5928,Amfiteatru Economic,AMFITEATRU ECON,22479104,2.1,2.6
5929,Comparative European Politics,COMP EUR POLIT,14724790,2.1,2.6
5929,Comparative European Politics,COMP EUR POLIT,1740388X,2.1,2.6
5930,DOCUMENTA OPHTHALMOLOGICA,DOC OPHTHALMOL,00124486,2.1,2.6
5930,DOCUMENTA OPHTHALMOLOGICA,DOC OPHTHALMOL,15732622,2.1,2.6
5931,INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,INT J OBSTET ANESTH,0959289X,2.1,2.6
5931,INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,INT J OBSTET ANESTH,15323374,2.1,2.6
5932,International Journal of Precision Engineering and Manufacturing,INT J PRECIS ENG MAN,22347593,2.1,2.6
5932,International Journal of Precision Engineering and Manufacturing,INT J PRECIS ENG MAN,20054602,2.1,2.6
5933,International Journal of Simulation Modelling,INT J SIMUL MODEL,17264529,2.1,2.6
5933,International Journal of Simulation Modelling,INT J SIMUL MODEL,19968566,2.1,2.6
5934,Italian Journal of Agronomy,ITAL J AGRON,11254718,2.1,2.6
5934,Italian Journal of Agronomy,ITAL J AGRON,20396805,2.1,2.6
5935,Journal of Political Power,J POLITICAL POWER,2158379X,2.1,2.6
5935,Journal of Political Power,J POLITICAL POWER,21583803,2.1,2.6
5936,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,J JPN INT ECON,08891583,2.1,2.6
5936,JOURNAL OF THE JAPANESE AND INTERNATIONAL ECONOMIES,J JPN INT ECON,10958681,2.1,2.6
5937,Mathematical Modelling of Natural Phenomena,MATH MODEL NAT PHENO,09735348,2.1,2.6
5937,Mathematical Modelling of Natural Phenomena,MATH MODEL NAT PHENO,17606101,2.1,2.6
5938,Nonlinear Analysis-Modelling and Control,NONLINEAR ANAL-MODEL,13925113,2.1,2.6
5938,Nonlinear Analysis-Modelling and Control,NONLINEAR ANAL-MODEL,23358963,2.1,2.6
5939,Transplant Infectious Disease,TRANSPL INFECT DIS,13982273,2.1,2.6
5939,Transplant Infectious Disease,TRANSPL INFECT DIS,13993062,2.1,2.6
5940,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,ENFERM INFEC MICR CL,0213005X,2,2.6
5940,ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA,ENFERM INFEC MICR CL,15781852,2,2.6
5941,EURO Journal on Computational Optimization,EURO J COMPUT OPTIM,21924406,2,2.6
5941,EURO Journal on Computational Optimization,EURO J COMPUT OPTIM,21924414,2,2.6
5942,PROTEIN ENGINEERING DESIGN & SELECTION,PROTEIN ENG DES SEL,17410126,2,2.6
5942,PROTEIN ENGINEERING DESIGN & SELECTION,PROTEIN ENG DES SEL,17410134,2,2.6
5943,European Annals of Allergy and Clinical Immunology,EUR ANN ALLERGY CLIN,17641489,1.9,2.6
5944,Journal of Systems Science & Complexity,J SYST SCI COMPLEX,10096124,1.9,2.6
5944,Journal of Systems Science & Complexity,J SYST SCI COMPLEX,15597067,1.9,2.6
5945,Journal of the World Federation of Orthodontists,J WORLD FED ORTHOD,22124438,1.9,2.6
5946,Portuguese Economic Journal,PORT ECON J,1617982X,1.9,2.6
5946,Portuguese Economic Journal,PORT ECON J,16179838,1.9,2.6
5947,Folia Geographica,FOLIA GEOGR-SLOVAKIA,13366157,1.8,2.6
5947,Folia Geographica,FOLIA GEOGR-SLOVAKIA,24541001,1.8,2.6
5948,Tourism & Management Studies,TOUR MANAG STUD,21828458,1.7,2.6
5948,Tourism & Management Studies,TOUR MANAG STUD,21828466,1.7,2.6
5949,INTERNATIONAL JOURNAL OF MODERN PHYSICS B,INT J MOD PHYS B,02179792,1.6,2.6
5949,INTERNATIONAL JOURNAL OF MODERN PHYSICS B,INT J MOD PHYS B,17936578,1.6,2.6
5950,Molecular & Cellular Oncology,MOL CELL ONCOL,23723556,1.6,2.6
5951,Philosophy Psychiatry & Psychology,PHILOS PSYCHIATR PSY,10716076,1.3,2.6
5951,Philosophy Psychiatry & Psychology,PHILOS PSYCHIATR PSY,10863303,1.3,2.6
5952,Cardiovascular Digital Health Journal,CARDIOVASC DIGIT HLT,26666936,0,2.6
5953,Clinical Hypertension,CLIN HYPERTENS,20565909,0,2.6
5954,E-Learning and Digital Media,E-LEARNING DIGITAL M,20427530,0,2.6
5955,European Journal of Higher Education,EUR J HIGH EDUC,21568235,0,2.6
5955,European Journal of Higher Education,EUR J HIGH EDUC,21568243,0,2.6
5956,JMIR Human Factors,JMIR HUM FACTORS,22929495,0,2.6
5957,Journal of Contemporary East Asia Studies,J CONTEM E ASIA STUD,24761028,0,2.6
5957,Journal of Contemporary East Asia Studies,J CONTEM E ASIA STUD,24761036,0,2.6
5958,Journal of Functional Morphology and Kinesiology,J FUNCT MORPHOL KIN,24115142,0,2.6
5959,Transportation Infrastructure Geotechnology,TRANSP INFRASTRUCT G,21967202,0,2.6
5959,Transportation Infrastructure Geotechnology,TRANSP INFRASTRUCT G,21967210,0,2.6
5960,World Electric Vehicle Journal,WORLD ELECTR VEHIC J,20326653,0,2.6
5961,Journal of Black Psychology,J BLACK PSYCHOL,00957984,8.2,2.5
5961,Journal of Black Psychology,J BLACK PSYCHOL,15524558,8.2,2.5
5962,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,STRUCT EQU MODELING,10705511,5.9,2.5
5962,STRUCTURAL EQUATION MODELING-A MULTIDISCIPLINARY JOURNAL,STRUCT EQU MODELING,15328007,5.9,2.5
5963,HARVARD REVIEW OF PSYCHIATRY,HARVARD REV PSYCHIAT,10673229,5.2,2.5
5963,HARVARD REVIEW OF PSYCHIATRY,HARVARD REV PSYCHIAT,14657309,5.2,2.5
5964,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,INT REV PHYS CHEM,0144235X,4.9,2.5
5964,INTERNATIONAL REVIEWS IN PHYSICAL CHEMISTRY,INT REV PHYS CHEM,1366591X,4.9,2.5
5965,PSYCHOLOGY OF WOMEN QUARTERLY,PSYCHOL WOMEN QUART,03616843,4.9,2.5
5965,PSYCHOLOGY OF WOMEN QUARTERLY,PSYCHOL WOMEN QUART,14716402,4.9,2.5
5966,Bioscience of Microbiota Food and Health,BIOSCI MICROB FOOD H,21866953,4.7,2.5
5966,Bioscience of Microbiota Food and Health,BIOSCI MICROB FOOD H,21863342,4.7,2.5
5967,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,INT J SOC PSYCHIATR,00207640,4.6,2.5
5967,INTERNATIONAL JOURNAL OF SOCIAL PSYCHIATRY,INT J SOC PSYCHIATR,17412854,4.6,2.5
5968,AMERICAN REVIEW OF PUBLIC ADMINISTRATION,AM REV PUBLIC ADM,02750740,4.4,2.5
5968,AMERICAN REVIEW OF PUBLIC ADMINISTRATION,AM REV PUBLIC ADM,15523357,4.4,2.5
5969,STEM CELLS AND DEVELOPMENT,STEM CELLS DEV,15473287,4.4,2.5
5969,STEM CELLS AND DEVELOPMENT,STEM CELLS DEV,15578534,4.4,2.5
5970,Biodiversity Informatics,BIODIVERS INFORM,15469735,4.3,2.5
5971,DARU-Journal of Pharmaceutical Sciences,DARU,20082231,4.2,2.5
5972,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,CAN J AGR ECON,00083976,4.1,2.5
5972,CANADIAN JOURNAL OF AGRICULTURAL ECONOMICS-REVUE CANADIENNE D AGROECONOMIE,CAN J AGR ECON,17447976,4.1,2.5
5973,THEORY AND RESEARCH IN SOCIAL EDUCATION,THEOR RES SOC EDUC,00933104,4,2.5
5973,THEORY AND RESEARCH IN SOCIAL EDUCATION,THEOR RES SOC EDUC,21631654,4,2.5
5974,European Accounting Review,EUR ACCOUNT REV,09638180,3.9,2.5
5974,European Accounting Review,EUR ACCOUNT REV,14684497,3.9,2.5
5975,Bilingualism-Language and Cognition,BILING-LANG COGN,13667289,3.8,2.5
5975,Bilingualism-Language and Cognition,BILING-LANG COGN,14691841,3.8,2.5
5976,Frontiers in Neuroinformatics,FRONT NEUROINFORM,16625196,3.8,2.5
5977,CHROMOSOMA,CHROMOSOMA,00095915,3.7,2.5
5977,CHROMOSOMA,CHROMOSOMA,14320886,3.7,2.5
5978,CYTOMETRY PART A,CYTOM PART A,15524922,3.7,2.5
5978,CYTOMETRY PART A,CYTOM PART A,15524930,3.7,2.5
5979,MARKETING LETTERS,MARKET LETT,09230645,3.7,2.5
5979,MARKETING LETTERS,MARKET LETT,1573059X,3.7,2.5
5980,THINKING & REASONING,THINK REASONING,13546783,3.7,2.5
5980,THINKING & REASONING,THINK REASONING,14640708,3.7,2.5
5981,Acta Orthopaedica,ACTA ORTHOP,17453674,3.6,2.5
5981,Acta Orthopaedica,ACTA ORTHOP,17453682,3.6,2.5
5982,International Journal of Telerehabilitation,INT J TELEREHABILITA,19452020,3.6,2.5
5983,Mitigation and Adaptation Strategies for Global Change,MITIG ADAPT STRAT GL,13812386,3.6,2.5
5983,Mitigation and Adaptation Strategies for Global Change,MITIG ADAPT STRAT GL,15731596,3.6,2.5
5984,THEORY INTO PRACTICE,THEOR PRACT,00405841,3.6,2.5
5984,THEORY INTO PRACTICE,THEOR PRACT,15430421,3.6,2.5
5985,Accounting Education,ACCOUNT EDUC,09639284,3.5,2.5
5985,Accounting Education,ACCOUNT EDUC,14684489,3.5,2.5
5986,Physiological Genomics,PHYSIOL GENOMICS,10948341,3.5,2.5
5986,Physiological Genomics,PHYSIOL GENOMICS,15312267,3.5,2.5
5987,YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE J BIOL MED,00440086,3.5,2.5
5987,YALE JOURNAL OF BIOLOGY AND MEDICINE,YALE J BIOL MED,15514056,3.5,2.5
5988,Briefings in Functional Genomics,BRIEF FUNCT GENOMICS,20412649,3.4,2.5
5988,Briefings in Functional Genomics,BRIEF FUNCT GENOMICS,20412657,3.4,2.5
5989,International Review of Research in Open and Distributed Learning,INT REV RES OPEN DIS,14923831,3.4,2.5
5990,JOURNAL OF ADHESIVE DENTISTRY,J ADHES DENT,14615185,3.4,2.5
5990,JOURNAL OF ADHESIVE DENTISTRY,J ADHES DENT,17579988,3.4,2.5
5991,JOURNAL OF MANAGEMENT DEVELOPMENT,J MANAG DEV,02621711,3.4,2.5
5991,JOURNAL OF MANAGEMENT DEVELOPMENT,J MANAG DEV,17587492,3.4,2.5
5992,Political Science Research and Methods,POLIT SCI RES METH,20498470,3.4,2.5
5992,Political Science Research and Methods,POLIT SCI RES METH,20498489,3.4,2.5
5993,ANNALS OF FOREST SCIENCE,ANN FOREST SCI,12864560,3.3,2.5
5993,ANNALS OF FOREST SCIENCE,ANN FOREST SCI,1297966X,3.3,2.5
5994,EXPERT OPINION ON PHARMACOTHERAPY,EXPERT OPIN PHARMACO,14656566,3.3,2.5
5994,EXPERT OPINION ON PHARMACOTHERAPY,EXPERT OPIN PHARMACO,17447666,3.3,2.5
5995,Food Additives & Contaminants Part B-Surveillance,FOOD ADDIT CONTAM B,19393210,3.3,2.5
5995,Food Additives & Contaminants Part B-Surveillance,FOOD ADDIT CONTAM B,19393229,3.3,2.5
5996,JOURNAL OF CLINICAL PSYCHOLOGY,J CLIN PSYCHOL,00219762,3.3,2.5
5996,JOURNAL OF CLINICAL PSYCHOLOGY,J CLIN PSYCHOL,10974679,3.3,2.5
5997,JOURNAL OF ENGINEERING DESIGN,J ENG DESIGN,09544828,3.3,2.5
5997,JOURNAL OF ENGINEERING DESIGN,J ENG DESIGN,14661837,3.3,2.5
5998,POST-SOVIET AFFAIRS,POST-SOV AFF,1060586X,3.3,2.5
5998,POST-SOVIET AFFAIRS,POST-SOV AFF,19382855,3.3,2.5
5999,PRIMARY CARE,PRIMARY CARE,00954543,3.3,2.5
5999,PRIMARY CARE,PRIMARY CARE,1558299X,3.3,2.5
6000,RESEARCH IN MICROBIOLOGY,RES MICROBIOL,09232508,3.3,2.5
6000,RESEARCH IN MICROBIOLOGY,RES MICROBIOL,17697123,3.3,2.5
6001,Social Movement Studies,SOC MOVEMENT STUD,14742837,3.3,2.5
6001,Social Movement Studies,SOC MOVEMENT STUD,14742829,3.3,2.5
6002,SPORTS MEDICINE AND ARTHROSCOPY REVIEW,SPORTS MED ARTHROSC,10628592,3.3,2.5
6002,SPORTS MEDICINE AND ARTHROSCOPY REVIEW,SPORTS MED ARTHROSC,15381951,3.3,2.5
6003,URBAN ECOSYSTEMS,URBAN ECOSYST,10838155,3.3,2.5
6003,URBAN ECOSYSTEMS,URBAN ECOSYST,15731642,3.3,2.5
6004,VADOSE ZONE JOURNAL,VADOSE ZONE J,15391663,3.3,2.5
6005,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,AM J REPROD IMMUNOL,10467408,3.2,2.5
6005,AMERICAN JOURNAL OF REPRODUCTIVE IMMUNOLOGY,AM J REPROD IMMUNOL,16000897,3.2,2.5
6006,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,ANN AM ACAD POLIT SS,00027162,3.2,2.5
6006,ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE,ANN AM ACAD POLIT SS,15523349,3.2,2.5
6007,Anthropocene Review,ANTHROPOCENE REV,20530196,3.2,2.5
6007,Anthropocene Review,ANTHROPOCENE REV,2053020X,3.2,2.5
6008,BMC Palliative Care,BMC PALLIAT CARE,1472684X,3.2,2.5
6009,CLINICAL BIOCHEMISTRY,CLIN BIOCHEM,00099120,3.2,2.5
6009,CLINICAL BIOCHEMISTRY,CLIN BIOCHEM,18732933,3.2,2.5
6010,COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,15307026,3.2,2.5
6010,COGNITIVE AFFECTIVE & BEHAVIORAL NEUROSCIENCE,COGN AFFECT BEHAV NE,1531135X,3.2,2.5
6011,HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,HEMATOL ONCOL CLIN N,08898588,3.2,2.5
6011,HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA,HEMATOL ONCOL CLIN N,15581977,3.2,2.5
6012,Housing Theory & Society,HOUS THEORY SOC,14036096,3.2,2.5
6012,Housing Theory & Society,HOUS THEORY SOC,16512278,3.2,2.5
6013,IET Quantum Communication,IET QUANTUM COMMUN,26328925,3.2,2.5
6014,JOURNAL OF LEISURE RESEARCH,J LEISURE RES,00222216,3.2,2.5
6014,JOURNAL OF LEISURE RESEARCH,J LEISURE RES,21596417,3.2,2.5
6015,Journal of Southern Hemisphere Earth Systems Science,J SO HEMISPH EARTH,22065865,3.2,2.5
6016,JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,J NATL MED ASSOC,00279684,3.2,2.5
6016,JOURNAL OF THE NATIONAL MEDICAL ASSOCIATION,J NATL MED ASSOC,19434693,3.2,2.5
6017,Pain Research & Management,PAIN RES MANAG,12036765,3.2,2.5
6017,Pain Research & Management,PAIN RES MANAG,19181523,3.2,2.5
6018,POLITICAL STUDIES,POLIT STUD-LONDON,00323217,3.2,2.5
6018,POLITICAL STUDIES,POLIT STUD-LONDON,14679248,3.2,2.5
6019,VIRUS RESEARCH,VIRUS RES,01681702,3.2,2.5
6019,VIRUS RESEARCH,VIRUS RES,18727492,3.2,2.5
6020,ACM Transactions on Management Information Systems,ACM TRANS MANAG INF,2158656X,3.1,2.5
6020,ACM Transactions on Management Information Systems,ACM TRANS MANAG INF,21586578,3.1,2.5
6021,AI MAGAZINE,AI MAG,07384602,3.1,2.5
6021,AI MAGAZINE,AI MAG,23719621,3.1,2.5
6022,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,AMYOTROPH LAT SCL FR,21678421,3.1,2.5
6022,Amyotrophic Lateral Sclerosis and Frontotemporal Degeneration,AMYOTROPH LAT SCL FR,21679223,3.1,2.5
6023,AVIAN PATHOLOGY,AVIAN PATHOL,03079457,3.1,2.5
6023,AVIAN PATHOLOGY,AVIAN PATHOL,14653338,3.1,2.5
6024,CREATIVITY RESEARCH JOURNAL,CREATIVITY RES J,10400419,3.1,2.5
6024,CREATIVITY RESEARCH JOURNAL,CREATIVITY RES J,15326934,3.1,2.5
6025,Global Health-Science and Practice,GLOB HEALTH-SCI PRAC,2169575X,3.1,2.5
6026,IEEE Journal of Photovoltaics,IEEE J PHOTOVOLT,21563381,3.1,2.5
6026,IEEE Journal of Photovoltaics,IEEE J PHOTOVOLT,21563403,3.1,2.5
6027,International Journal of Bilingual Education and Bilingualism,INT J BILING EDUC BI,13670050,3.1,2.5
6027,International Journal of Bilingual Education and Bilingualism,INT J BILING EDUC BI,17477522,3.1,2.5
6028,Journal of Analytical Science and Technology,J ANAL SCI TECHNOL,20933134,3.1,2.5
6028,Journal of Analytical Science and Technology,J ANAL SCI TECHNOL,20933371,3.1,2.5
6029,Journal of Cancer Prevention,J CANCER PREV,22883649,3.1,2.5
6029,Journal of Cancer Prevention,J CANCER PREV,22883657,3.1,2.5
6030,JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,08874417,3.1,2.5
6030,JOURNAL OF COMPUTER INFORMATION SYSTEMS,J COMPUT INFORM SYST,23802057,3.1,2.5
6031,Journal of Diversity in Higher Education,J DIVERS HIGH EDUC,19388926,3.1,2.5
6031,Journal of Diversity in Higher Education,J DIVERS HIGH EDUC,19388934,3.1,2.5
6032,JOURNAL OF ECONOMIC HISTORY,J ECON HIST,00220507,3.1,2.5
6032,JOURNAL OF ECONOMIC HISTORY,J ECON HIST,14716372,3.1,2.5
6033,JOURNAL OF ECONOMIC PSYCHOLOGY,J ECON PSYCHOL,01674870,3.1,2.5
6033,JOURNAL OF ECONOMIC PSYCHOLOGY,J ECON PSYCHOL,18727719,3.1,2.5
6034,Journal of Foot and Ankle Research,J FOOT ANKLE RES,17571146,3.1,2.5
6035,Journal of Movement Disorders,J MOV DISORD,2005940X,3.1,2.5
6035,Journal of Movement Disorders,J MOV DISORD,20934939,3.1,2.5
6036,PROTOPLASMA,PROTOPLASMA,0033183X,3.1,2.5
6036,PROTOPLASMA,PROTOPLASMA,16156102,3.1,2.5
6037,ACM Transactions on Accessible Computing,ACM T ACCESS COMPUT,19367228,3,2.5
6037,ACM Transactions on Accessible Computing,ACM T ACCESS COMPUT,19367236,3,2.5
6038,AMERICAN JOURNAL ON ADDICTIONS,AM J ADDICTION,10550496,3,2.5
6038,AMERICAN JOURNAL ON ADDICTIONS,AM J ADDICTION,15210391,3,2.5
6039,Environmental Research Communications,ENVIRON RES COMMUN,25157620,3,2.5
6040,EURASIP Journal on Information Security,EURASIP J INF SECUR,2510523X,3,2.5
6041,International Journal of Urban Sustainable Development,INT J URBAN SUSTAIN,19463138,3,2.5
6041,International Journal of Urban Sustainable Development,INT J URBAN SUSTAIN,19463146,3,2.5
6042,International Journal of Womens Health,INT J WOMENS HEALTH,11791411,3,2.5
6043,Journal of Law and the Biosciences,J LAW BIOSCI,20539711,3,2.5
6044,Journal of Natural Medicines,J NAT MED-TOKYO,13403443,3,2.5
6044,Journal of Natural Medicines,J NAT MED-TOKYO,18610293,3,2.5
6045,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,J STRENGTH COND RES,10648011,3,2.5
6045,JOURNAL OF STRENGTH AND CONDITIONING RESEARCH,J STRENGTH COND RES,15334287,3,2.5
6046,Journal of Sustainable Metallurgy,J SUSTAIN METALL,21993823,3,2.5
6046,Journal of Sustainable Metallurgy,J SUSTAIN METALL,21993831,3,2.5
6047,Neuropsychiatric Disease and Treatment,NEUROPSYCH DIS TREAT,11782021,3,2.5
6048,Obesity Research & Clinical Practice,OBES RES CLIN PRACT,1871403X,3,2.5
6048,Obesity Research & Clinical Practice,OBES RES CLIN PRACT,18780318,3,2.5
6049,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,PHOTODERMATOL PHOTO,09054383,3,2.5
6049,PHOTODERMATOLOGY PHOTOIMMUNOLOGY & PHOTOMEDICINE,PHOTODERMATOL PHOTO,16000781,3,2.5
6050,Public Health Research & Practice,PUBLIC HEALTH RES PR,22042091,3,2.5
6051,School Mental Health,SCH MENT HEALTH,18662625,3,2.5
6051,School Mental Health,SCH MENT HEALTH,18662633,3,2.5
6052,ANIMAL FEED SCIENCE AND TECHNOLOGY,ANIM FEED SCI TECH,03778401,2.9,2.5
6052,ANIMAL FEED SCIENCE AND TECHNOLOGY,ANIM FEED SCI TECH,18732216,2.9,2.5
6053,ANNALS ACADEMY OF MEDICINE SINGAPORE,ANN ACAD MED SINGAP,29724066,2.9,2.5
6054,CHINA QUARTERLY,CHINA QUART,03057410,2.9,2.5
6054,CHINA QUARTERLY,CHINA QUART,14682648,2.9,2.5
6055,DIGESTIVE DISEASES AND SCIENCES,DIGEST DIS SCI,01632116,2.9,2.5
6055,DIGESTIVE DISEASES AND SCIENCES,DIGEST DIS SCI,15732568,2.9,2.5
6056,Ecohydrology,ECOHYDROLOGY,19360584,2.9,2.5
6056,Ecohydrology,ECOHYDROLOGY,19360592,2.9,2.5
6057,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,16153375,2.9,2.5
6057,FOUNDATIONS OF COMPUTATIONAL MATHEMATICS,FOUND COMPUT MATH,16153383,2.9,2.5
6058,Future Microbiology,FUTURE MICROBIOL,17460913,2.9,2.5
6058,Future Microbiology,FUTURE MICROBIOL,17460921,2.9,2.5
6059,Health Sociology Review,HEALTH SOCIOL REV,14461242,2.9,2.5
6059,Health Sociology Review,HEALTH SOCIOL REV,18393551,2.9,2.5
6060,HEARING RESEARCH,HEARING RES,03785955,2.9,2.5
6060,HEARING RESEARCH,HEARING RES,18785891,2.9,2.5
6061,IEEE Electrification Magazine,IEEE ELECTRIF MAG,23255897,2.9,2.5
6061,IEEE Electrification Magazine,IEEE ELECTRIF MAG,23255889,2.9,2.5
6062,Informatics for Health & Social Care,INFORM HEALTH SOC CA,17538157,2.9,2.5
6062,Informatics for Health & Social Care,INFORM HEALTH SOC CA,17538165,2.9,2.5
6063,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,INT J IND ERGONOM,01698141,2.9,2.5
6063,INTERNATIONAL JOURNAL OF INDUSTRIAL ERGONOMICS,INT J IND ERGONOM,18728219,2.9,2.5
6064,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,01678760,2.9,2.5
6064,INTERNATIONAL JOURNAL OF PSYCHOPHYSIOLOGY,INT J PSYCHOPHYSIOL,18727697,2.9,2.5
6065,International Journal of Public Sector Management,INT J PUBLIC SECT MA,09513558,2.9,2.5
6065,International Journal of Public Sector Management,INT J PUBLIC SECT MA,17586666,2.9,2.5
6066,JOURNAL OF EARTHQUAKE ENGINEERING,J EARTHQ ENG,13632469,2.9,2.5
6066,JOURNAL OF EARTHQUAKE ENGINEERING,J EARTHQ ENG,1559808X,2.9,2.5
6067,Journal of Educational Change,J EDUC CHANG,13892843,2.9,2.5
6067,Journal of Educational Change,J EDUC CHANG,15731812,2.9,2.5
6068,JOURNAL OF HEALTH PSYCHOLOGY,J HEALTH PSYCHOL,13591053,2.9,2.5
6068,JOURNAL OF HEALTH PSYCHOLOGY,J HEALTH PSYCHOL,14617277,2.9,2.5
6069,JOURNAL OF LOSS & TRAUMA,J LOSS TRAUMA,15325024,2.9,2.5
6069,JOURNAL OF LOSS & TRAUMA,J LOSS TRAUMA,15325032,2.9,2.5
6070,JOURNAL OF REHABILITATION MEDICINE,J REHABIL MED,16501977,2.9,2.5
6070,JOURNAL OF REHABILITATION MEDICINE,J REHABIL MED,16512081,2.9,2.5
6071,PLATELETS,PLATELETS,09537104,2.9,2.5
6071,PLATELETS,PLATELETS,13691635,2.9,2.5
6072,Politics and Governance,POLITICS GOV,21832463,2.9,2.5
6073,Sexuality Research and Social Policy,SEX RES SOC POLICY,18689884,2.9,2.5
6073,Sexuality Research and Social Policy,SEX RES SOC POLICY,15536610,2.9,2.5
6074,Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,00013072,2.8,2.5
6074,Abacus-A Journal of Accounting Finance and Business Studies,ABACUS,14676281,2.8,2.5
6075,Aerosol and Air Quality Research,AEROSOL AIR QUAL RES,16808584,2.8,2.5
6075,Aerosol and Air Quality Research,AEROSOL AIR QUAL RES,20711409,2.8,2.5
6076,AMERICAN JOURNAL OF MANAGED CARE,AM J MANAG CARE,10880224,2.8,2.5
6077,AMERICAN JOURNAL OF NURSING,AM J NURS,0002936X,2.8,2.5
6077,AMERICAN JOURNAL OF NURSING,AM J NURS,15387488,2.8,2.5
6078,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,10527613,2.8,2.5
6078,AQUATIC CONSERVATION-MARINE AND FRESHWATER ECOSYSTEMS,AQUAT CONSERV,10990755,2.8,2.5
6079,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,BBA-PROTEINS PROTEOM,15709639,2.8,2.5
6079,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,BBA-PROTEINS PROTEOM,18781454,2.8,2.5
6080,Cancer Control,CANCER CONTROL,10732748,2.8,2.5
6080,Cancer Control,CANCER CONTROL,15262359,2.8,2.5
6081,Cancer Management and Research,CANCER MANAG RES,11791322,2.8,2.5
6082,Clinical and Experimental Gastroenterology,CLIN EXP GASTROENTER,11787023,2.8,2.5
6083,Crop Protection,CROP PROT,02612194,2.8,2.5
6083,Crop Protection,CROP PROT,18736904,2.8,2.5
6084,European Journal of International Security,EUR J INT SECUR,20575637,2.8,2.5
6084,European Journal of International Security,EUR J INT SECUR,20575645,2.8,2.5
6085,Health and Human Rights,HEALTH HUM RIGHTS,21504113,2.8,2.5
6086,Hormones and Behavior,HORM BEHAV,0018506X,2.8,2.5
6086,Hormones and Behavior,HORM BEHAV,10956867,2.8,2.5
6087,ICARUS,ICARUS,00191035,2.8,2.5
6087,ICARUS,ICARUS,10902643,2.8,2.5
6088,IET Collaborative Intelligent Manufacturing,IET COLL INTEL MANUF,25168398,2.8,2.5
6089,International Journal of Energy Sector Management,INT J ENERGY SECT MA,17506220,2.8,2.5
6089,International Journal of Energy Sector Management,INT J ENERGY SECT MA,17506239,2.8,2.5
6090,International Review for the Sociology of Sport,INT REV SOCIOL SPORT,10126902,2.8,2.5
